STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,Reference area,Frequency of observation,Measure,Age,Sex,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1961,110.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1962,109.1
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1963,110.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1964,114.2
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1965,113
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1966,114.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1967,116.1
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1968,117.6
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1969,118
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1970,119.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1971,119.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1972,121.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1973,116.7
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1974,118.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1975,117.8
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1976,126.1
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1977,123.4
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1978,127
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1979,128.5
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),Risk factors for health,United States,Annual,Fat supply,Total,Total,Grammes per person per day,1980,128.2
